Battery_Voltage,Battery_Current,Battery_Temperature,Solar_Voltage,Solar_Current,Motor_Current,Motor_Temperature,DC_Bus_Voltage,Fault
24.5,2.1,35,18.0,1.5,2.0,40,24.0,Healthy
24.3,2.0,36,18.2,1.6,2.1,41,24.1,Healthy
23.9,2.3,37,17.8,1.4,2.2,42,23.9,Healthy
20.0,5.0,65,17.0,1.5,2.5,55,22.0,Battery Fault
19.5,5.2,70,17.1,1.4,2.6,56,21.8,Battery Fault
24.2,2.0,36,10.0,0.5,2.1,42,24.0,Solar Panel Fault
24.1,2.1,37,9.8,0.4,2.2,43,23.9,Solar Panel Fault
24.4,2.2,38,18.0,1.6,6.0,80,24.2,Motor Fault
24.3,2.1,39,18.1,1.5,5.8,78,24.1,Motor Fault
23.5,3.5,55,17.0,1.2,3.8,60,18.0,DC Bus Fault
23.4,3.6,56,16.8,1.1,3.9,61,17.8,DC Bus Fault
24.0,2.5,85,18.2,1.5,4.5,95,24.0,Overheating
24.1,2.4,88,18.1,1.4,4.6,97,23.9,Overheating
